"id","golfer_id","score","course_name","created_at","updated_at"
167,7,36.00,"Robert A. Black","2009-05-19 00:00:00",NULL
168,10,46.00,"Robert A. Black","2009-05-14 00:00:00",NULL
169,1,35.00,"Robert A. Black","2009-05-26 00:00:00",NULL
170,11,45.00,"Robert A. Black","2009-05-26 00:00:00",NULL
171,2,40.00,"Robert A. Black","2009-05-26 00:00:00",NULL
172,5,35.00,"Robert A. Black","2009-05-26 00:00:00",NULL
173,7,37.00,"Robert A. Black","2009-05-26 00:00:00",NULL
174,10,44.00,"Robert A. Black","2009-05-26 00:00:00",NULL
175,1,37.00,"Robert A. Black","2009-06-02 00:00:00",NULL
176,11,41.00,"Robert A. Black","2009-06-02 00:00:00",NULL
177,2,37.00,"Robert A. Black","2009-06-02 00:00:00",NULL
178,3,46.00,"Robert A. Black","2009-06-02 00:00:00",NULL
179,4,38.00,"Robert A. Black","2009-06-02 00:00:00",NULL
180,1,36.00,"Robert A. Black","2009-06-09 00:00:00",NULL
181,11,45.00,"Robert A. Black","2009-06-09 00:00:00",NULL
182,2,43.00,"Robert A. Black","2009-06-09 00:00:00",NULL
183,3,46.00,"Robert A. Black","2009-06-09 00:00:00",NULL
184,4,39.00,"Robert A. Black","2009-06-09 00:00:00",NULL
185,5,43.00,"Robert A. Black","2009-06-09 00:00:00",NULL
186,7,38.00,"Robert A. Black","2009-06-09 00:00:00",NULL
187,10,42.00,"Robert A. Black","2009-06-09 00:00:00",NULL
188,6,37.00,"Robert A. Black","2009-06-23 00:00:00",NULL
189,10,45.00,"Robert A. Black","2009-06-23 00:00:00",NULL
190,11,44.00,"Robert A. Black","2009-06-23 00:00:00",NULL
191,1,37.00,"Robert A. Black","2009-06-23 00:00:00",NULL
192,3,42.00,"Robert A. Black","2009-06-23 00:00:00",NULL
193,3,46.00,"Robert A. Black","2009-06-23 00:00:00",NULL
194,7,43.00,"Robert A. Black","2009-06-23 00:00:00",NULL
195,5,41.00,"Robert A. Black","2009-06-23 00:00:00",NULL
196,1,37.00,"Robert A. Black","2009-06-30 00:00:00",NULL
197,11,40.00,"Robert A. Black","2009-06-30 00:00:00",NULL
198,2,40.00,"Robert A. Black","2009-06-30 00:00:00",NULL
199,3,47.00,"Robert A. Black","2009-06-30 00:00:00",NULL
200,4,41.00,"Robert A. Black","2009-06-30 00:00:00",NULL
201,5,38.00,"Robert A. Black","2009-06-30 00:00:00",NULL
202,7,45.00,"Robert A. Black","2009-06-30 00:00:00",NULL
203,10,48.00,"Robert A. Black","2009-06-30 00:00:00",NULL
204,3,46.00,"Robert A. Black","2009-07-07 00:00:00",NULL
205,4,39.00,"Robert A. Black","2009-07-07 00:00:00",NULL
206,11,42.00,"Robert A. Black","2009-07-07 00:00:00",NULL
207,2,38.00,"Robert A. Black","2009-07-07 00:00:00",NULL
208,5,38.00,"Robert A. Black","2009-07-07 00:00:00",NULL
209,7,39.00,"Robert A. Black","2009-07-07 00:00:00",NULL
210,1,36.00,"Robert A. Black","2009-07-07 00:00:00",NULL
211,13,39.00,"Robert A. Black","2008-10-19 00:00:00",NULL
212,13,40.00,"Robert A. Black","2008-10-20 00:00:00",NULL
213,13,42.00,"Robert A. Black","2008-10-21 00:00:00",NULL
214,13,46.00,"Robert A. Black","2009-04-24 00:00:00",NULL
215,13,43.00,"Robert A. Black","2009-04-28 00:00:00",NULL
216,13,44.00,"Robert A. Black","2009-05-05 00:00:00",NULL
217,13,43.00,"Robert A. Black","2009-05-12 00:00:00",NULL
218,13,45.00,"Robert A. Black","2009-05-19 00:00:00",NULL
219,13,44.00,"Robert A. Black","2009-05-26 00:00:00",NULL
220,13,39.00,"Robert A. Black","2009-06-02 00:00:00",NULL
221,13,44.00,"Robert A. Black","2009-06-09 00:00:00",NULL
222,13,41.00,"Robert A. Black","2009-06-23 00:00:00",NULL
223,13,40.00,"Robert A. Black","2009-06-30 00:00:00",NULL
224,13,43.00,"Robert A. Black","2009-07-07 00:00:00",NULL
225,13,39.00,"Robert A. Black","2009-07-14 00:00:00",NULL
226,12,42.00,"Robert A. Black","2009-07-14 00:00:00",NULL
227,1,36.00,"Robert A. Black","2009-07-14 00:00:00",NULL
228,6,40.00,"Robert A. Black","2009-07-14 00:00:00",NULL
229,11,39.00,"Robert A. Black","2009-07-14 00:00:00",NULL
230,4,34.00,"Robert A. Black","2009-07-14 00:00:00",NULL
231,3,46.00,"Robert A. Black","2009-07-14 00:00:00",NULL
232,10,46.00,"Robert A. Black","2009-07-14 00:00:00",NULL
233,7,39.00,"Robert A. Black","2009-07-14 00:00:00",NULL
234,2,40.00,"Robert A. Black","2009-07-14 00:00:00",NULL
235,5,41.00,"Robert A. Black","2009-07-14 00:00:00",NULL
236,11,46.00,"Robert A. Black","2009-07-21 00:00:00",NULL
237,1,38.00,"Robert A. Black","2009-07-21 00:00:00",NULL
238,7,41.00,"Robert A. Black","2009-07-21 00:00:00",NULL
239,2,41.00,"Robert A. Black","2009-07-21 00:00:00",NULL
240,5,37.00,"Robert A. Black","2009-07-21 00:00:00",NULL
241,10,44.00,"Robert A. Black","2009-07-21 00:00:00",NULL
242,13,40.00,"Robert A. Black","2009-07-21 00:00:00",NULL
243,7,41.00,"Robert A. Black","2009-07-28 00:00:00",NULL
244,2,39.00,"Robert A. Black","2009-07-28 00:00:00",NULL
245,13,43.00,"Robert A. Black","2009-07-28 00:00:00",NULL
246,12,38.00,"Robert A. Black","2009-07-28 00:00:00",NULL
247,11,39.00,"Robert A. Black","2009-07-28 00:00:00",NULL
248,1,40.00,"Robert A. Black","2009-07-28 00:00:00",NULL
249,14,39.00,"Robert A. Black","2009-07-28 00:00:00",NULL
250,4,37.00,"Robert A. Black","2009-07-28 00:00:00",NULL
251,1,39.00,"Robert A. Black","2009-08-04 00:00:00",NULL
252,13,46.00,"Robert A. Black","2009-08-04 00:00:00",NULL
253,11,38.00,"Robert A. Black","2009-08-04 00:00:00",NULL
254,2,41.00,"Robert A. Black","2009-08-04 00:00:00",NULL
255,3,45.00,"Robert A. Black","2009-08-04 00:00:00",NULL
256,4,35.00,"Robert A. Black","2009-08-04 00:00:00",NULL
257,5,42.00,"Robert A. Black","2009-08-04 00:00:00",NULL
258,12,40.00,"Robert A. Black","2009-08-04 00:00:00",NULL
259,7,41.00,"Robert A. Black","2009-08-04 00:00:00",NULL
260,8,42.00,"Robert A. Black","2009-08-04 00:00:00",NULL
261,1,39.00,"Robert A. Black","2009-08-11 00:00:00",NULL
262,11,46.00,"Robert A. Black","2009-08-11 00:00:00",NULL
263,2,35.00,"Robert A. Black","2009-08-11 00:00:00",NULL
264,3,45.00,"Robert A. Black","2009-08-11 00:00:00",NULL
265,4,39.00,"Robert A. Black","2009-08-11 00:00:00",NULL
266,14,37.00,"Robert A. Black","2009-08-11 00:00:00",NULL
267,7,40.00,"Robert A. Black","2009-08-11 00:00:00",NULL
268,9,41.00,"Robert A. Black","2009-08-11 00:00:00",NULL
269,1,35.00,"Robert A. Black","2009-08-18 00:00:00",NULL
270,13,40.00,"Robert A. Black","2009-08-18 00:00:00",NULL
271,11,41.00,"Robert A. Black","2009-08-18 00:00:00",NULL
272,2,40.00,"Robert A. Black","2009-08-18 00:00:00",NULL
273,3,48.00,"Robert A. Black","2009-08-18 00:00:00",NULL
274,4,40.00,"Robert A. Black","2009-08-18 00:00:00",NULL
275,12,45.00,"Robert A. Black","2009-08-18 00:00:00",NULL
276,14,38.00,"Robert A. Black","2009-08-18 00:00:00",NULL
277,7,43.00,"Robert A. Black","2009-08-18 00:00:00",NULL
278,8,38.00,"Robert A. Black","2009-08-18 00:00:00",NULL
279,9,39.00,"Robert A. Black","2009-08-18 00:00:00",NULL
280,10,44.00,"Robert A. Black","2009-08-18 00:00:00",NULL
281,1,40.00,"Robert A. Black","2009-08-25 00:00:00",NULL
282,13,43.00,"Robert A. Black","2009-08-25 00:00:00",NULL
283,11,40.00,"Robert A. Black","2009-08-25 00:00:00",NULL
284,2,38.00,"Robert A. Black","2009-08-25 00:00:00",NULL
285,3,44.00,"Robert A. Black","2009-08-25 00:00:00",NULL
286,5,41.00,"Robert A. Black","2009-08-25 00:00:00",NULL
287,14,39.00,"Robert A. Black","2009-08-25 00:00:00",NULL
288,7,41.00,"Robert A. Black","2009-08-25 00:00:00",NULL
289,8,47.00,"Robert A. Black","2009-08-25 00:00:00",NULL
290,9,37.00,"Robert A. Black","2009-08-25 00:00:00",NULL
291,1,40.00,"Robert A. Black","2009-09-01 00:00:00",NULL
292,13,44.00,"Robert A. Black","2009-09-01 00:00:00",NULL
293,13,40.00,"Robert A. Black","2009-09-01 00:00:00",NULL
294,11,40.00,"Robert A. Black","2009-09-01 00:00:00",NULL
295,2,39.00,"Robert A. Black","2009-09-01 00:00:00",NULL
296,3,44.00,"Robert A. Black","2009-09-01 00:00:00",NULL
297,4,40.00,"Robert A. Black","2009-09-01 00:00:00",NULL
298,5,44.00,"Robert A. Black","2009-09-01 00:00:00",NULL
299,14,37.00,"Robert A. Black","2009-09-01 00:00:00",NULL
300,7,43.00,"Robert A. Black","2009-09-01 00:00:00",NULL
301,8,41.00,"Robert A. Black","2009-09-01 00:00:00",NULL
302,4,39.00,"Robert A. Black","2009-09-08 00:00:00",NULL
303,8,40.00,"Robert A. Black","2009-09-08 00:00:00",NULL
304,1,38.00,"Robert A. Black","2009-09-08 00:00:00",NULL
305,7,43.00,"Robert A. Black","2009-09-08 00:00:00",NULL
306,2,39.00,"Robert A. Black","2009-09-08 00:00:00",NULL
307,9,38.00,"Robert A. Black","2009-09-08 00:00:00",NULL
308,3,46.00,"Robert A. Black","2009-09-08 00:00:00",NULL
309,10,43.00,"Robert A. Black","2009-09-08 00:00:00",NULL
310,12,40.00,"Robert A. Black","2009-09-16 00:00:00",NULL
311,6,40.00,"Robert A. Black","2009-09-16 00:00:00",NULL
312,9,38.00,"Robert A. Black","2009-09-16 00:00:00",NULL
313,8,41.00,"Robert A. Black","2009-09-16 00:00:00",NULL
314,3,45.00,"Robert A. Black","2009-09-16 00:00:00",NULL
315,7,41.00,"Robert A. Black","2009-09-16 00:00:00",NULL
316,2,41.00,"Robert A. Black","2009-09-16 00:00:00",NULL
317,5,41.00,"Robert A. Black","2009-09-16 00:00:00",NULL
318,11,43.00,"Robert A. Black","2009-09-16 00:00:00",NULL
319,4,37.00,"Robert A. Black","2009-09-16 00:00:00",NULL
320,1,36.00,"Robert A. Black","2009-09-16 00:00:00",NULL
321,2,42.00,"Robert A. Black","2009-09-22 00:00:00",NULL
322,3,45.00,"Robert A. Black","2009-09-22 00:00:00",NULL
323,4,39.00,"Robert A. Black","2009-09-22 00:00:00",NULL
324,5,42.00,"Robert A. Black","2009-09-22 00:00:00",NULL
325,12,41.00,"Robert A. Black","2009-09-22 00:00:00",NULL
326,6,40.00,"Robert A. Black","2009-09-22 00:00:00",NULL
327,10,48.50,"Robert A. Black","2009-09-22 00:00:00",NULL
